Window,Multi-horizon strategy,Direct 60-day strategy,Historical-risk rule (post hoc)
31–60 days,263/696 (37.79%),207/696 (29.74%),277/696 (39.80%)
1–60 days,443/696 (63.65%),290/696 (41.67%),351/696 (50.43%)
