panel,policy,display_name,observation_id,value,ecdf,denominator_n,metric,candidate_lake_n,origin_n,adjacent_pair_n,total_selection_slots,unique_selected_lakes,unique_lake_reach_percent,repeat_selection_median,repeat_selection_lower_quartile,repeat_selection_upper_quartile,repeat_selection_mean,jaccard_mean,jaccard_median,jaccard_lower_quartile,jaccard_upper_quartile,jaccard_turnover_mean
a,multi_horizon,Multi-horizon,2021-03-21,0.2059447983014862,0.007751937984496124,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-02-02,0.3057471264367816,0.015503875968992248,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-11-10,0.3117505995203837,0.023255813953488372,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2023-04-16,0.3255269320843091,0.031007751937984496,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-02-20,0.3271028037383177,0.03875968992248062,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-12-11,0.3491686460807601,0.046511627906976744,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-03-06,0.3786407766990291,0.05426356589147287,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-02-06,0.3819951338199513,0.06201550387596899,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-05-01,0.3819951338199513,0.06976744186046512,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-03-03,0.3819951338199513,0.07751937984496124,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-05-30,0.3887530562347188,0.08527131782945736,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2023-05-28,0.3916256157635468,0.09302325581395349,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2021-05-16,0.3990147783251231,0.10077519379844961,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2022-03-20,0.3990147783251231,0.10852713178294573,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2025-06-22,0.400990099009901,0.11627906976744186,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
a,multi_horizon,Multi-horizon,2024-02-04,0.4164588528678304,0.12403100775193798,129,jaccard_overlap,2844,130,129,36631,1538,54.07876230661041,11.0,3.0,37.0,23.817295188556567,0.5129165200645733,0.5227882037533512,0.4601542416452442,0.5647382920110193,0.4870834799354266
