bootstrap_draw,total_event_copies,captured__primary_31_60__multi_horizon,captured__primary_31_60__direct_60_day,capture_rate_difference__primary_31_60,captured__secondary_1_60__multi_horizon,captured__secondary_1_60__direct_60_day,capture_rate_difference__secondary_1_60
134,602,238,174,0.10631229235880396,394,260,0.2225913621262458
135,602,223,180,0.0714285714285714,372,265,0.17774086378737547
136,707,278,200,0.1103253182461103,480,287,0.272984441301273
137,738,282,231,0.06910569105691061,462,317,0.19647696476964766
138,776,295,206,0.11469072164948452,505,289,0.27835051546391754
139,675,255,200,0.08148148148148149,412,275,0.20296296296296296
140,703,270,205,0.09246088193456614,427,287,0.19914651493598867
141,690,262,221,0.05942028985507247,444,297,0.2130434782608695
142,732,263,222,0.05601092896174864,486,321,0.22540983606557374
143,745,294,240,0.0724832214765101,497,331,0.22281879194630871
144,663,257,191,0.09954751131221723,420,272,0.22322775263951733
145,714,269,214,0.07703081232492998,454,281,0.24229691876750697
146,653,241,199,0.06431852986217457,405,266,0.21286370597243492
147,603,231,193,0.06301824212271973,386,263,0.20398009950248752
148,611,221,192,0.04746317512274961,361,262,0.1620294599018003
149,696,263,197,0.09482758620689657,405,281,0.17816091954022983
150,699,276,194,0.11731044349070097,421,286,0.19313304721030045
151,609,224,176,0.0788177339901478,381,266,0.18883415435139572
152,745,284,212,0.09664429530201346,473,293,0.2416107382550336
153,784,300,232,0.086734693877551,521,312,0.26658163265306123
154,672,251,222,0.04315476190476192,410,300,0.16369047619047622
155,651,268,202,0.10138248847926262,413,274,0.21351766513056836
156,642,235,200,0.0545171339563863,404,269,0.21028037383177567
157,711,282,234,0.06751054852320676,456,314,0.19971870604782005
158,676,267,211,0.08284023668639057,419,297,0.18047337278106507
159,680,251,199,0.07647058823529412,436,304,0.19411764705882356
