lake_id,longitude,latitude,x_epsg5070_m,y_epsg5070_m,coordinate_source_id,coordinate_crs,state,ecoregion_source,ecoregion_display,conus_bounds_valid,candidate_universe,temporal_evaluation_period_candidate_domain,temporal_evaluation_monitoring_lake_domain,has_frozen_pre2021_predictor_history,has_post2020_temporal_evaluation_chla_history,formal_event_lake,formal_event_event_count,multi_horizon_ever_selected,direct_60_day_ever_selected,policy_overlap_ever_selected,ever_selected_role
198426,-81.5095274293,27.6331368411,1431006.25909703,616780.992296239,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,Shared
198475,-81.4832378378,28.4548887047,1419773.23649535,706873.150504559,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,Shared
198476,-81.4821640292,28.4777805093,1419492.29829711,709390.668903859,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
198502,-81.4388856622,27.3499240116,1442694.40459814,586982.751901485,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
198600,-81.3741380135,28.5227966313,1429208.38229787,715928.839604044,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
198601,-81.3712015354,28.5334575115,1429312.30709692,717137.936404156,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,1,True,False,False,Multi-horizon only
198607,-81.3574610977,27.3143599235,1451299.66610171,584348.756495057,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
198623,-81.3495590823,28.560616873,1430948.94900161,720431.464605493,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
198665,-81.2912019441,28.3893586206,1439522.33679706,702603.272594856,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
199366,-81.5484358903,27.7428875703,1425359.24630278,628165.173702944,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199367,-81.5238405425,28.4532087683,1415861.1851011,706083.8178978,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199368,-81.3964826887,27.6923979264,1441081.60279817,624950.705599975,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,Shared
199369,-81.3212944178,28.0768868995,1441912.43049688,668032.665796107,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,False,True,False,False,0,True,True,True,Shared
1996,-92.8879591454,48.4973833716,232329.617703337,2836763.31040359,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,True,True,True,False,0,False,False,False,neither
199678,-81.5685096517,27.8638107438,1421375.72700061,641056.635101665,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
199694,-81.5533663116,28.4555415325,1412956.62269654,705899.302104115,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
199725,-81.5274934382,28.4724612919,1415183.76929761,708133.33409581,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199726,-81.5217482843,28.474743046,1415702.91679587,708468.261396121,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199732,-81.5123569819,27.795738238,1428004.43520078,634471.755804978,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,Shared
199754,-81.4838500761,27.5277075795,1435291.66499744,605674.610100757,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
199782,-81.4725503653,28.4851443552,1420300.97199898,710339.008102465,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
19981,-93.6268122654,45.0290504687,186772.209002891,2451285.44699737,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,True,True,True,True,2,True,True,True,Shared
199817,-81.4397949558,28.5260990152,1422787.18949741,715304.514299853,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
199861,-81.3949450203,28.5216508249,1427210.60479947,715490.936001312,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,1,True,False,False,Multi-horizon only
199877,-81.3776413761,28.4762485785,1429657.55199854,710790.103204992,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
199879,-81.3746023015,28.5272943092,1429087.13329999,716413.324202025,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,Shared
199880,-81.3782982346,28.5345365135,1428606.11720279,717149.134096812,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199885,-81.3692575659,27.2853826776,1450629.44740173,581012.797405807,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199892,-81.3682865006,28.4907785155,1430318.58989566,712518.398798006,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199893,-81.3676013007,28.5162067083,1429953.83639478,715307.096604401,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
199894,-81.3667841928,28.5314502004,1429774.53320359,716985.041000001,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,Shared
199920,-81.3347337775,28.507743601,1433284.15110147,714877.518496834,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,4,True,False,False,Multi-horizon only
199921,-81.3370271819,28.538893664,1432532.43400039,718246.514696717,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
199930,-81.3231740218,28.5120720391,1434331.30780255,715524.845795495,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
199962,-81.2581122971,28.4041987481,1442481.31709604,704725.812104823,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
2000,-92.9572764697,45.8323674065,236590.745297485,2542037.74060197,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
20012,-95.0870507989,46.7835407154,69985.251402616,2644065.29970193,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
2002,-93.2026041474,45.0754127781,219997.070599696,2457349.89100403,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,False,False,False,neither
2003,-94.1572870517,46.7203715765,141388.44170282,2638104.16810242,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,False,False,False,neither
2004,-93.389761531,47.6765018858,197363.039202563,2745177.90220147,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,False,False,False,neither
20042,-95.0668571928,46.8538287597,71456.7957036627,2651862.51070433,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
200686,-80.0721029888,26.6817299565,1589173.17999541,536145.205102032,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
200695,-81.4959958211,27.7401770986,1430536.7393983,628657.494904106,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
200696,-81.3491702014,28.4683186941,1432553.79989792,710352.476004239,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
200697,-81.3426589801,27.2873442049,1453212.54610052,581632.786703682,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
200902,-81.6120905271,28.4346681568,1407605.17190157,702746.682904184,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
200903,-81.6073683349,28.4441248724,1407905.88780162,703850.146403113,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,Multi-horizon only
20093,-92.8350927016,45.3015559605,248051.866699037,2483396.00880345,Candidate lake ledger,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,True,False,False,Multi-horizon only
