lake_id,longitude,latitude,x_epsg5070_m,y_epsg5070_m,coordinate_source_id,coordinate_crs,state,ecoregion_source,ecoregion_display,conus_bounds_valid,candidate_universe,external_period_candidate_domain,external_monitoring_lake_domain,has_frozen_pre2021_predictor_history,has_post2020_external_chla_history,formal_event_lake,formal_event_episode_count,multi_horizon_ever_selected,direct_60_day_ever_selected,policy_overlap_ever_selected,ever_selected_role
194686,-81.5129991373,28.4098962581,1417640.426701301,701512.6652054358,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
194688,-81.5124929101,28.4194117554,1417529.8404024462,702559.9237007033,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
194700,-81.4966271163,27.6355176873,1432230.3997988426,617234.922596924,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,both
194718,-81.4714564772,27.5404676706,1436293.2297985198,607252.7049016971,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,1,True,False,False,multi_horizon_only
194731,-81.479129393,28.3985802803,1421119.3755032164,700782.1616057325,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
194758,-81.4422170247,27.5431562629,1439115.976997243,607988.1049995665,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,1,True,True,True,both
194790,-81.4342982498,28.5120282775,1423557.6407011768,713849.1703974959,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
194794,-81.4058303623,27.3394778074,1446119.852301006,586347.2305952776,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
194813,-81.3949152803,27.346767124,1447069.8948961936,587307.3891987056,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,both
194814,-81.4057263422,27.3550812871,1445866.985396385,588048.5011036694,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
194818,-81.4030292723,28.5415225565,1426090.6386984666,717541.1062014066,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
194821,-81.3834706052,27.3235191942,1448587.4467987511,584949.505796954,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,True,True,both
194834,-81.3792018862,28.5293611673,1428606.2237032559,716570.0193004999,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,4,True,False,False,multi_horizon_only
194835,-81.3759931816,28.5346616328,1428827.4301967528,717197.460300006,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,False,True,False,False,0,False,False,False,neither
194850,-81.3701667939,28.4966895173,1430036.019496916,713135.9467036631,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
194879,-81.3410436919,28.5301738425,1432291.2961044852,717233.1810987666,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
194880,-81.3342151385,28.5301980367,1432952.7826045328,717338.7648991495,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
194882,-81.3310096729,28.5563211168,1432819.3555962897,720241.535600137,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
194896,-81.3210902431,28.5083488469,1434596.665702792,715149.5115976464,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
1949,-96.4560366575,44.4935665795,-36180.224303936164,2389420.0631949184,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,SD,Temporate Plains,Temperate Plains,True,True,True,False,True,False,False,0,True,True,True,both
1951,-94.6904342647,47.4116596695,99430.14489903026,2713898.8476980384,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,False,False,False,neither
195565,-80.0736734038,26.64971002,1589605.5318960717,532645.786893988,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
195569,-81.612230265,28.4604562596,1407161.614202482,705563.0324950013,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
195570,-81.3635449947,27.2423813382,1451918.321101986,576417.3051969316,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
195571,-81.3600225455,28.4843051994,1431229.856197241,711935.549899878,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
195573,-81.2604930042,27.3409255328,1460381.430601701,588727.4134023543,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,2,True,True,True,both
195841,-81.5727682399,28.441092554,1411315.201498389,704031.9730045144,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
195963,-81.4660086116,28.4585196606,1421383.9903027574,707527.4507963397,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
195966,-81.4624463776,28.5208519652,1420679.4652030075,714392.2194058187,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
195999,-81.4226073223,28.5246104842,1424478.6863037592,715399.3227013908,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,True,10,True,False,False,multi_horizon_only
196005,-81.4038185068,27.43279136,1444743.882403365,596543.5776984971,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
196028,-81.3928786281,28.4803494629,1428110.1139038927,711009.0641963203,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
196029,-81.3852138359,28.4819126299,1428827.095902477,711295.0696039554,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
196030,-81.3986751825,28.4906435768,1427373.6741973327,712046.7541047782,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,False,False,False,neither
196072,-81.345187915,28.5642392176,1431310.9744034435,720893.1296987422,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
196083,-81.3284138046,28.5208882149,1433673.407102773,716409.0367016941,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,FL,Coastal Plains,Coastal Plains,True,True,True,True,True,True,False,0,True,False,False,multi_horizon_only
1964,-93.5563252354,44.9883932611,192434.72359927313,2446903.3674982777,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,True,False,False,multi_horizon_only
1968,-94.6674833837,45.772707574,103718.68829986626,2532351.6457007816,MULTI_HORIZON_CANDIDATE_LEDGER,EPSG:4326-compatible longitude/latitude; CRS not embedded in Parquet,MN,Upper Midwest,Upper Midwest,True,True,True,False,True,False,False,0,False,False,False,neither
