group,policy,rows,positive_rows,prevalence,auprc,auroc,brier,log_loss,mean_probability,calibration_intercept,calibration_slope
all_2017_2020,Multi-horizon,62301,2819,0.0452480698544164,0.228262521813016,0.850156767282548,0.0388035501775203,0.148969365457462,0.0487568693935105,0.230823929402857,1.13123763511554
all_2017_2020,Direct 60-day,62301,2819,0.0452480698544164,0.253773873780914,0.855694030760707,0.0380302006876865,0.143508418986146,0.0488047894137922,-0.13388677443255,0.981577650394324
all_2017_2020,Direct 60-day_environment,62301,2819,0.0452480698544164,0.227307441038969,0.857442619877827,0.0387467197447338,0.144609227144735,0.0461875329132379,-0.13461628755776,0.951981272046891
all_2017_2020,Direct 60-day_backbone,62301,2819,0.0452480698544164,0.171757762633664,0.806588061750423,0.0404089598152751,0.157134141544655,0.0538490042607169,-0.288980922463955,0.962178626663279
all_2017_2020,early_30_day_reference,62301,2819,0.0452480698544164,0.2437560831121,0.850527151881982,0.0392960584854289,0.151484436809075,0.028666205994361,0.998290492398236,1.16296431505273
year_2017,Multi-horizon,18563,819,0.0441200237030652,0.246550934625723,0.854979543550328,0.0374473402196991,0.144074909222902,0.0503992632625317,0.177946452209277,1.14213993191302
year_2017,Direct 60-day,18563,819,0.0441200237030652,0.248359408913961,0.848081547247463,0.0375667586338516,0.142867295645767,0.0461685259319407,-0.21645686935533,0.927790389042828
year_2017,Direct 60-day_environment,18563,819,0.0441200237030652,0.248859849958885,0.855029776355295,0.0373002300761664,0.141113546176058,0.0451703029498054,-0.144729611653986,0.949358936788397
year_2017,Direct 60-day_backbone,18563,819,0.0441200237030652,0.168204367311842,0.793788004901621,0.0396421498279489,0.156085019810984,0.0512728047148036,-0.403352415411607,0.902831374381675
year_2017,early_30_day_reference,18563,819,0.0441200237030652,0.263485181468901,0.853762189368591,0.0378664056237525,0.146393639281511,0.0281182567810049,0.942402424287329,1.14497886406461
year_2018,Multi-horizon,17401,746,0.0428710993621056,0.191946481140552,0.835013195563973,0.0380004733748627,0.148944746000066,0.050492063150288,-0.178078554860779,1.00565107141607
year_2018,Direct 60-day,17401,746,0.0428710993621056,0.231656211089545,0.842880230638659,0.0369492206420406,0.142558411621563,0.0481335682933238,-0.347965147689687,0.907113107771411
year_2018,Direct 60-day_environment,17401,746,0.0428710993621056,0.203054823404585,0.853306295640192,0.0377944957281617,0.141974416199134,0.045678916931009,-0.356168053045632,0.877964152064318
year_2018,Direct 60-day_backbone,17401,746,0.0428710993621056,0.158871528375285,0.801350543235493,0.038902082206402,0.153103019964295,0.0515409110301915,-0.418739776325604,0.913519743749902
year_2018,early_30_day_reference,17401,746,0.0428710993621056,0.222046170846132,0.842064753638539,0.0374782890600056,0.147585251437217,0.0298516002831049,0.658114917770082,1.08505404025459
year_2019,Multi-horizon,17463,814,0.0466128385729828,0.223421176330669,0.828012336811664,0.0400914245201598,0.155210357374242,0.0487632531274151,0.228492476679061,1.11373121081552
year_2019,Direct 60-day,17463,814,0.0466128385729828,0.243037185330866,0.841104740558161,0.0394625738346519,0.149847684823063,0.0524417036956553,-0.172109896762471,0.986239638126738
year_2019,Direct 60-day_environment,17463,814,0.0466128385729828,0.19464813289729,0.833647105735519,0.0412414014178411,0.154936164992567,0.0504486830742144,-0.361515835296002,0.882420915166362
year_2019,Direct 60-day_backbone,17463,814,0.0466128385729828,0.150747902893718,0.784126309022699,0.0426011874120374,0.166173364319673,0.0581652807146245,-0.476550110033183,0.902664920266394
year_2019,early_30_day_reference,17463,814,0.0466128385729828,0.222072865644218,0.826941299792522,0.0409685682965069,0.159224005965818,0.0297337073075561,0.934791452279936,1.14529394840357
year_2020,Multi-horizon,8874,440,0.0495830516114491,0.316337174915125,0.908442289865695,0.0406808901870498,0.146974521240373,0.0419061433288834,1.51590754382779,1.52406561950815
year_2020,Direct 60-day,8874,440,0.0495830516114491,0.351424026826291,0.91857336107099,0.0383005946874795,0.134237475940001,0.04847860546368,0.586254164596677,1.26399924299381
year_2020,Direct 60-day_environment,8874,440,0.0495830516114491,0.358291513241699,0.911669487140794,0.0387305164285875,0.136766017256213,0.0409273121849114,1.08088920313094,1.3648939425796
year_2020,Direct 60-day_backbone,8874,440,0.0495830516114491,0.270348541741599,0.878979563239701,0.0406537874628383,0.149445212768663,0.0552700079524648,0.602404239218157,1.34383039281252
year_2020,early_30_day_reference,8874,440,0.0495830516114491,0.312252120138411,0.899593366676008,0.042559819248583,0.154548906380371,0.0253872742608441,2.0856234476756,1.43914181681612
